STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,CEN23_YEAR_001,Census year,CEN23_GEO_008,Area,CEN23_BIR_005,Birthplace,CEN23_YNZ_001,Years since arrival in New Zealand,CEN23_AGE_004,Age,CEN23_GEN_002,Gender,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0801,"China, People's Republic of",07,10-19 years,99,Total - age,99,Total - gender,37728,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0201,Fiji,09,Not elsewhere included,99,Total - age,99,Total - gender,477,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0510,Serbia,04,3 years,99,Total - age,99,Total - gender,66,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B12,At sea,999,Total - years since arrival in New Zealand,99,Total - age,99,Total - gender,3,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0411,Sweden,03,2 years,99,Total - age,99,Total - gender,27,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0803,Japan,03,2 years,99,Total - age,99,Total - gender,144,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B01,Australia,02,1 year,99,Total - age,99,Total - gender,2940,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0803,Japan,02,1 year,99,Total - age,99,Total - gender,207,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0208,Tuvalu,09,Not elsewhere included,99,Total - age,99,Total - gender,78,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0207,Kiribati,09,Not elsewhere included,99,Total - age,99,Total - gender,45,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B1004,Chile,03,2 years,99,Total - age,99,Total - gender,69,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0905,Nepal,Mean,Average - years since arrival in New Zealand,99,Total - age,99,Total - gender,7.2,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0401,England,999,Total - years since arrival in New Zealand,99,Total - age,99,Total - gender,208428,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0802,"Korea, Republic of",05,4 years,99,Total - age,99,Total - gender,1104,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0411,Sweden,06,5-9 years,99,Total - age,99,Total - gender,330,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B05,Southern and Eastern Europe,03,2 years,99,Total - age,99,Total - gender,381,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0703,Thailand,Mean,Average - years since arrival in New Zealand,99,Total - age,99,Total - gender,14.5,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B1104,Zambia,999,Total - years since arrival in New Zealand,99,Total - age,99,Total - gender,1557,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0210,Tokelau,999,Total - years since arrival in New Zealand,99,Total - age,99,Total - gender,1347,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0208,Tuvalu,777,Total stated - years since arrival in New Zealand,99,Total - age,99,Total - gender,2169,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0605,United Arab Emirates,08,20 years or more,99,Total - age,99,Total - gender,339,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0709,Other,03,2 years,99,Total - age,99,Total - gender,12,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0410,Switzerland,02,1 year,99,Total - age,99,Total - gender,48,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B1001,United States of America,02,1 year,99,Total - age,99,Total - gender,1059,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0806,Other,02,1 year,99,Total - age,99,Total - gender,9,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0512,Other,03,2 years,99,Total - age,99,Total - gender,84,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0901,India,03,2 years,99,Total - age,99,Total - gender,1833,,,
