STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,CEN23_YEAR_001,Census year,CEN23_GEO_002,Area,CEN23_POM_008,Usual residence one year ago summary (RC),CEN23_ETH_002,Ethnicity,CEN23_AGE_004,Age,CEN23_GEN_002,Gender,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,26,Different Regional Council Area same island,999,Total - ethnicity,2,15-29 years,99,Total - gender,43200,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,9,Not elsewhere included,999,Total - ethnicity,4,65 years and over,99,Total - gender,4698,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,777,Total stated - usual residence one year ago summary (RC),999,Total - ethnicity,4,65 years and over,99,Total - gender,823890,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,3,Not born one year ago,999,Total - ethnicity,Median,Median - age,99,Total - gender,0.5,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,28,Area outside Regional Council Area,999,Total - ethnicity,3,30-64 years,99,Total - gender,99,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,26,Different Regional Council Area same island,999,Total - ethnicity,99,Total - age,99,Total - gender,117516,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,1,Same as usual residence,999,Total - ethnicity,99,Total - age,99,Total - gender,3925731,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,4,Overseas,999,Total - ethnicity,1,Under 15 years,99,Total - gender,20838,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,9,Not elsewhere included,999,Total - ethnicity,2,15-29 years,99,Total - gender,10548,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,4,Overseas,999,Total - ethnicity,99,Total - age,99,Total - gender,131649,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,999,Total - usual residence one year ago summary (RC),999,Total - ethnicity,1,Under 15 years,99,Total - gender,936300,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,3,Not born one year ago,999,Total - ethnicity,2,15-29 years,99,Total - gender,0,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,28,Area outside Regional Council Area,999,Total - ethnicity,2,15-29 years,99,Total - gender,45,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,4,Overseas,999,Total - ethnicity,Median,Median - age,99,Total - gender,31,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,999,Total - usual residence one year ago summary (RC),999,Total - ethnicity,Median,Median - age,99,Total - gender,38.1,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,3,Not born one year ago,999,Total - ethnicity,99,Total - age,99,Total - gender,54546,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,25,Same Regional Council Area,999,Total - ethnicity,Median,Median - age,99,Total - gender,29.7,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,25,Same Regional Council Area,999,Total - ethnicity,3,30-64 years,99,Total - gender,282249,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,5,No fixed abode one year ago,999,Total - ethnicity,4,65 years and over,99,Total - gender,726,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,28,Area outside Regional Council Area,999,Total - ethnicity,99,Total - age,99,Total - gender,186,,,
